title,source
"Union Minister for Finance and Corporate Affairs Smt. Nirmala Sitharaman inaugurates SPMCIL's New Corporate Office at World Trade Centre, Nauroji Nagar, New Delhi, today",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135268
Union Minister Dr L. Murugan inaugurates NeVA Digital Platform for Puducherry Legislative Assembly,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135180
World today looks up to India to overcome the global challenges: Dr Jitendra Singh,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135185
"The Consulate General of India celebrated the fifth Curtain Raiser for the International Day of Yoga 2025, in collaboration with the Brahma Kumaris a unique, spiritual, value-based educational institution at Perth, in Australia on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185210
"Swami Vivekananda Cultural Centre (SVCC), Bali in collaboration with Genta Yoga Pemogan community in Denpasar organized the 36th pre-event of IDY2025. The session highlighted the power of connection, discipline, and tradition through a shared yoga practice, in Indonesia on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185211
"The Union Minister for Finance and Corporate Affairs, Smt. Nirmala Sitharaman addressing at the Corporate Office of Security Printing and Minting Corporation of India (SPMCIL), followed by award ceremony, in New Delhi on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185229
The Office of Principal Scientific Adviser to Government of India organised the first State/UTs engagement workshop under the National One Health Mission,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135236
Earth Sciences Minister Dr. Jitendra Singh and the UNESCO emissary Vidar Helgesen hold bilateral with focus on conservation of oceans,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135183
Lok Samvardhan Parv Commemorating Completion of 11 years of Government to begin tomorrow at Raj Ghat,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135292
"The Minister of State for Finance, Shri Pankaj Chaudhary addressing at the Corporate Office of Security Printing and Minting Corporation of India (SPMCIL), followed by award ceremony, in New Delhi on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185230
"The Minister of State for Finance, Shri Pankaj Chaudhary lighting the lamp at the Corporate Office of the Security Printing and Minting Corporation of India (SPMCIL), followed by award ceremony, in New Delhi on June 09, 2025. The Union Minister for Finance and Corporate Affairs, Smt. Nirmala Sitharaman also seen.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185227
