title,source
"During their port call in Chennai, the ships of Eastern Sword Sunrise Fleet experienced a rejuvenating yoga session, embracing holistic wellness. The session fostered harmony, resilience, and personal health, while promoting self-awareness and focus among the crew on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185247
"On the occasion of Harit Yoga, the spirited team of students, staff, and doctors of National Institute of Naturopathy, Pune embarked on a rejuvenating Yoga Trek to Sinhagad Fort blending the serenity of yoga with the strength of nature and the joy of togetherness on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185248
"Yoga Portal Crosses 50,000 Registrations, furthering a National Wellness Movement",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135392
Union Agriculture Minister Shri Shivraj Singh Chouhan Leads Nationwide Outreach Under Viksit Krishi Sankalp Abhiyan,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135472
"Union Minister for Finance and Corporate Affairs chairs 29th meeting of Financial Stability and Development Council (FSDC), in Mumbai, today",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135447
"Yoga unites us; Thousands gathered at Nghinh Phong Tower to celebrate the spirit of Yoga, organized by the Consulate General of India & Phu Yen Province, the event was a true reflection of global harmony on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185254
"The Minister of State for Finance, Shri Pankaj Chaudhary addressing at the Corporate Office of Security Printing and Minting Corporation of India (SPMCIL), followed by award ceremony, in New Delhi on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185230
"Sarbananda Sonowal hits back at Congress, says it has forfeited right to criticise Modi Govt's achievements",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135453
"Yoga unites us; Thousands gathered at Nghinh Phong Tower to celebrate the spirit of Yoga, organized by the Consulate General of India & Phu Yen Province, the event was a true reflection of global harmony on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185253
"CAQM, CSIR-CRRI, SPA sign MoU to reduce dust pollution via urban road redevelopment",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135475
"The Union Minister of Housing and Urban Affairs & Power, Shri Manohar Lal addressing a Press Conference on achievements of the Ministry of Power over the past 11 years at National Media Centre, in New Delhi on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185267
"The Union Minister of Housing and Urban Affairs & Power, Shri Manohar Lal addressing a Press Conference on achievements of the Ministry of Power over the past 11 years at National Media Centre, in New Delhi on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185269
CCI approves acquisition of certain issued and paid-up equity share capital of Goldi Solar Private Limited by Havells India Limited and acquisition of 100% partnership interest of Vama Inverters LLP and Goldi Energy LLP by Goldi Sun Private Limited,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135481
Union Home Minister and Minister of Cooperation Shri Amit Shah chairs a high-level meeting in New Delhi today to review flood management preparedness in the country,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135486
"In the run up to the main event of International Day of Yoga 2025, the Embassy of India in Poland association with Tamil Sangam Association of Poland (TSAP) organised a session of Yoga Asanas & breathing techniques to promote mindfulness, unity and wellness at Park Szczęśliwicki, Warsaw on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185265
"In the run up to the main event of International Day of Yoga 2025, the Embassy of India in Poland association with Tamil Sangam Association of Poland (TSAP) organised a session of Yoga Asanas & breathing techniques to promote mindfulness, unity and wellness at Park Szczęśliwicki, Warsaw on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185263
"The Minister of State for Road Transport and Highways and Corporate Affairs, Shri Harsh Malhotra addressing at Poshan Abhiyan, in Delhi on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185198
"India successfully met peak power demand of 241 GW on 9th June, 2025 with zero peak shortage: Shri Manohar Lal",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135450
